NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
040000100120	51.6	48.4	41.9	58.1	9	37223	47784	43355
040000100616	70.8	29.2	12.5	87.5	12	36300	49764	48081
040000101203	56.8	43.2	43.2	56.8	8	36419	46909	42373
040000101204	48.6	51.4	23.0	77.0	11	36898	49443	46561
040000101871	52.8	47.2	33.3	66.7	8	38584	45746	43359
040000101872	35.0	65.0	22.5	77.5	10	40447	45870	44650
040000102344	53.3	46.7	53.3	46.7	7	37587	44821	40963
040000102484	60.0	40.0	53.3	46.7	6	37688	43221	40270
040000300147	58.3	41.7	19.4	80.6	11	32787	41512	39815
040000301198	65.8	34.2	52.6	47.4	8	33500	42286	37662
040000301458	52.6	47.4	47.4	52.6	9	34648	42706	38889
040000301969	58.3	41.7	44.4	55.6	9	34788	41888	38733
040000400912	39.1	60.9	13.0	87.0	14	33300	47959	46047
040000500629	87.5	-1.0	37.5	62.5	6	33980	38245	36646
040002101276	72.7	27.3	31.8	68.2	12	25839	36324	32988
040002201354	83.3	-1.0	0.0	100.0	10	-2	33838	33838
040002301352	70.3	29.7	24.3	75.7	8	31417	41746	39233
040002301355	65.0	35.0	50.0	50.0	7	34756	39470	37113
040002301524	50.0	46.7	30.0	70.0	10	35760	37919	37271
040002601389	100.0	0.0	50.0	50.0	5	30699	33098	31898
040002601459	100.0	0.0	-1.0	-1.0	9	-1	-1	36465
040002601460	41.7	41.7	25.0	75.0	10	31799	39043	37232
040002601767	50.0	50.0	-1.0	87.5	13	-1	42127	40816
040002800528	75.0	-1.0	75.0	-1.0	5	26433	-1	26825
040004300733	62.5	37.5	87.5	-1.0	7	33951	-1	33872
040008200006	72.5	27.5	30.0	70.0	11	40117	46432	44537
040008201457	62.7	34.7	40.0	60.0	9	39023	48135	44490
040009901182	100.0	0.0	60.0	-1.0	5	32104	-1	37692
040012901790	61.5	38.5	61.5	38.5	7	28688	36300	31615
040013801727	66.7	33.3	44.4	55.6	11	33177	41360	37723
040014101657	85.7	-1.0	57.1	42.9	6	22925	24755	23709
040015201961	-1.0	-1.0	-1.0	-1.0	4	-1	-1	34650
040016201751	0.0	-1.0	-1.0	0.0	-1	-1	-2	-1
040016301820	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040016302429	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
040016303138	100.0	0.0	-1.0	-1.0	10	-1	-1	37376
040021200060	71.4	28.6	47.6	52.4	10	32740	45575	39463
040021200061	65.0	35.0	-1.0	90.0	11	-1	40395	39601
040021201120	61.1	38.9	27.8	72.2	12	30605	43946	40240
040021202444	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040021601864	-1.0	60.0	80.0	-1.0	4	42752	-1	43002
040024102029	71.2	28.8	59.3	40.7	7	34202	41868	37320
040028102187	78.6	21.4	35.7	64.3	9	29203	35847	33474
040029500149	63.6	36.4	54.5	45.5	6	34810	37625	36089
040029500326	80.0	20.0	40.0	60.0	8	32387	40319	37146
040029500327	60.0	40.0	34.3	65.7	10	33464	41154	38518
040029500328	58.3	41.7	41.7	58.3	11	34067	43611	39634
040029500329	55.6	44.4	55.6	44.4	7	34638	41249	37576
040029500881	67.0	32.0	37.1	62.9	10	33173	41466	38388
040029501126	71.4	28.6	20.0	80.0	13	33285	42819	40912
040029501495	60.0	40.0	28.6	71.4	10	31616	41449	38640
040029501544	67.7	32.3	48.4	51.6	6	32637	40612	36753
040029502661	72.2	25.0	50.0	50.0	8	32819	42560	37689
040031502217	75.0	-1.0	-1.0	-1.0	8	-1	-1	37478
040034802241	0.0	0.0	-1.0	0.0	-1	-1	-2	-1
040041202410	-1.0	60.0	-1.0	60.0	13	-1	42350	41410
040041902473	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
040042703160	50.0	50.0	-1.0	87.5	10	-1	42769	41564
040043102556	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
040043402562	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
040045000001	53.5	46.5	36.0	64.0	9	39632	48803	45497
040045001884	52.0	48.0	36.0	64.0	9	39112	48937	45400
040045002273	67.1	32.9	63.2	36.8	5	38700	45011	41025
040045002592	42.1	57.9	47.4	52.6	6	38520	44049	41430
040048000002	75.0	25.0	33.3	66.7	9	30581	43078	38912
040052000003	70.0	30.0	35.0	65.0	16	31571	44219	39792
040052003063	50.0	50.0	-1.0	75.0	16	-1	39819	38181
040060000007	74.1	25.9	44.4	55.6	8	42356	56940	50458
040060000008	68.9	31.1	46.7	53.3	10	42372	55349	49293
040060000009	68.9	31.1	36.1	63.9	9	42573	55226	50663
040060000010	57.8	42.2	51.1	48.9	7	41155	57011	48907
040060000012	76.6	23.4	60.9	39.1	7	41726	58033	48096
040060000015	63.5	36.5	38.5	61.5	9	40261	56747	50406
040060000016	70.4	29.6	44.4	55.6	8	41365	56392	49713
040060000018	72.1	27.9	47.5	52.5	7	42594	56110	49684
040060000302	72.1	27.9	52.5	47.5	7	42347	55562	48629
040060001283	82.8	17.2	41.4	58.6	10	40960	59242	51677
040060001418	53.6	46.4	50.7	49.3	6	41361	56552	48846
040060001486	82.0	18.0	36.0	64.0	10	40481	57108	51122
040060001707	80.0	20.0	35.0	65.0	7	41008	53623	49208
040060001708	78.0	22.0	53.7	46.3	6	41301	55790	48015
040060002002	63.8	36.2	58.6	41.4	6	42000	56153	47857
040061603094	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
040063000019	-1.0	60.0	-1.0	80.0	9	-1	45661	44212
040068000020	36.7	61.2	40.8	59.2	9	35450	44993	41098
040068000021	60.0	36.9	38.5	61.5	10	33990	45902	41320
040068000022	45.5	50.0	13.6	86.4	16	34887	51442	49184
040068000023	59.5	40.5	28.6	71.4	9	35567	40476	39073
040068000025	46.9	53.1	18.8	81.3	15	35096	49878	47106
040068000026	69.7	30.3	30.3	69.7	12	33624	46072	42300
040068000027	57.8	42.2	35.6	64.4	10	34983	44179	40909
040068000028	50.0	47.7	18.2	81.8	14	35545	46568	44564
040068000029	60.6	36.4	27.3	72.7	13	33852	46289	42897
040068000030	46.2	53.8	53.8	46.2	7	33425	43237	37953
040068000031	40.7	59.3	11.1	88.9	16	35757	48796	47347
040068000032	52.2	47.8	25.6	74.4	13	35330	46667	43770
040068000033	47.7	51.1	20.5	79.5	15	33739	49272	46095
040068001001	60.5	36.8	31.6	68.4	10	33559	44257	40879
040068001031	52.0	48.0	20.0	80.0	12	32471	46659	43821
040068001286	42.9	57.1	28.6	71.4	12	35930	46329	43358
040068001394	59.5	38.1	19.0	81.0	12	34554	44517	42619
040068001525	40.0	57.8	24.4	75.6	10	33565	43931	41397
040068002066	56.8	43.2	21.6	78.4	11	33274	45285	42688
040068002198	55.1	44.9	40.4	59.6	10	34542	45545	41095
040072000034	58.8	35.3	23.5	76.5	11	38232	46837	44812
040079000040	75.0	25.0	65.6	34.4	6	33463	44307	37191
040079000041	44.0	56.0	24.0	76.0	14	33705	49885	46001
040079000042	55.3	44.7	47.4	52.6	10	34820	48763	42158
040079000043	40.0	57.3	25.3	74.7	13	34985	48447	45036
040079001200	61.3	38.7	38.7	61.3	8	33651	44878	40532
040079001461	55.6	44.4	47.2	52.8	11	33570	51259	42906
040079001628	35.9	64.1	35.9	64.1	10	36401	45474	42217
040079002212	44.4	55.6	29.6	70.4	10	36399	44814	42320
040079002345	37.5	62.5	-1.0	87.5	12	-1	46369	44648
040084000044	66.7	33.3	50.0	50.0	9	38391	42541	40466
040087000046	75.0	-1.0	75.0	-1.0	6	27359	-1	30571
040091000047	71.4	-1.0	-1.0	71.4	7	-1	35532	36308
040091000048	42.9	-1.0	-1.0	85.7	7	-1	42185	42582
040091001059	-1.0	-1.0	-1.0	-1.0	5	-1	-1	41277
040096000049	50.0	50.0	44.2	55.8	9	35924	55323	46743
040096000051	57.6	42.4	42.4	57.6	9	35382	54151	46188
040096001154	65.8	34.2	63.2	36.8	5	36338	47597	40486
040096001878	74.2	25.8	58.1	41.9	6	35703	45753	39918
040096002255	54.5	45.5	70.5	29.5	5	35793	50966	40276
040096002381	58.3	41.7	54.2	45.8	8	35430	55502	44630
040096002494	47.6	52.4	35.7	64.3	8	38398	49391	45465
040100000052	63.6	36.4	54.5	45.5	7	39000	42499	40590
040100000053	-1.0	75.0	-1.0	-1.0	8	-1	-1	42480
040105000054	50.0	50.0	47.9	52.1	8	38987	47173	43250
040105000055	81.1	18.9	62.2	37.8	7	38131	47848	41807
040105000056	56.3	43.8	31.3	68.8	11	38976	49331	46095
040105000057	54.1	45.9	43.2	56.8	9	38160	48439	43994
040105003142	74.2	25.8	77.4	22.6	4	37810	42106	38780
040108000059	55.0	45.0	40.0	60.0	9	31794	42872	38441
040116000062	75.0	25.0	50.0	50.0	7	38841	38921	38881
040118000063	71.4	28.6	38.1	61.9	8	37743	41778	40240
040118000064	71.4	-1.0	-1.0	85.7	15	-1	42997	42219
040118000066	53.8	46.2	-1.0	84.6	15	-1	44991	43997
040118001817	50.0	50.0	30.0	70.0	11	35734	44757	42050
040126000070	-1.0	80.0	0.0	100.0	16	-2	39615	39615
040129000071	50.0	50.0	-1.0	83.3	11	-1	34728	33666
040133000072	-1.0	60.0	0.0	100.0	18	-2	47808	47808
040133000073	75.0	-1.0	0.0	100.0	16	-2	42699	42699
040138002490	81.3	18.8	62.5	37.5	6	32642	37469	34452
040138002491	83.3	16.7	56.7	43.3	7	32891	41161	36475
040138002492	83.3	16.7	66.7	33.3	5	31659	39689	34336
040138002642	81.8	18.2	90.9	-1.0	4	31128	-1	32272
040138003123	85.0	12.5	60.0	40.0	6	31021	39376	34363
040141000075	69.1	27.9	50.0	50.0	8	39307	45834	42571
040141002137	50.0	50.0	40.9	59.1	8	38867	45204	42611
040141003082	0.0	100.0	0.0	100.0	10	-2	41665	41665
040146000077	65.5	34.5	17.2	82.8	12	30714	43672	41438
040146000078	56.1	43.9	19.5	80.5	13	32100	42383	40376
040146000080	72.0	28.0	48.0	52.0	11	29403	47137	38625
040146000081	52.3	47.7	26.5	73.5	12	31910	43988	40785
040146000213	52.6	47.4	31.6	68.4	10	30159	42808	38813
040146001050	64.3	35.7	17.9	82.1	17	30629	47942	44850
040146001051	79.3	20.7	24.1	75.9	13	30846	42866	39965
040146001356	56.3	43.8	21.9	78.1	12	28708	43906	40582
040146003062	69.6	30.4	39.1	60.9	9	31341	40386	36847
040150000084	78.9	21.1	52.6	47.4	7	33375	37276	35223
040150000085	70.6	29.4	73.5	26.5	6	34025	40436	35722
040150000855	78.4	18.9	59.5	40.5	6	33527	38380	35494
040150001053	86.8	13.2	68.4	31.6	4	32795	37431	34259
040150001528	92.6	-1.0	44.4	55.6	10	34341	40843	37953
040150001757	77.4	22.6	54.8	45.2	8	33786	44115	38451
040150002184	81.3	18.8	75.0	25.0	5	30763	35698	31997
040160000086	66.7	33.3	41.0	59.0	11	34674	43874	40100
040160000087	47.6	52.4	14.3	85.7	12	36343	41998	41190
040160001529	52.6	47.4	36.8	63.2	11	36706	41851	39956
040160003173	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
040165000088	81.8	-1.0	45.5	54.5	9	33629	38822	36461
040168000089	61.5	32.7	51.9	48.1	9	35783	53513	44307
040168000091	53.2	46.8	51.1	48.9	9	39571	50575	44956
040168000092	60.0	40.0	46.2	53.8	8	35828	50034	43477
040168000093	56.4	42.3	50.0	50.0	9	37759	49125	43442
040168000094	62.3	37.7	60.9	39.1	7	34535	49183	40267
040168000095	62.2	37.8	64.9	35.1	7	37662	52708	42949
040168000096	60.0	37.8	62.2	37.8	8	35850	53120	42374
040168000097	57.4	42.6	55.3	44.7	8	37697	51278	43765
040168000098	40.7	59.3	42.6	57.4	9	37500	52125	45896
040168000100	61.9	38.1	57.1	42.9	7	38536	50250	43556
040168000101	48.3	51.7	41.7	58.3	10	38356	51408	45970
040168000102	57.7	42.3	46.2	53.8	10	36344	52056	44804
040168000104	43.6	56.4	43.6	56.4	9	39754	53551	47531
040168000105	48.1	51.9	51.9	48.1	9	38475	54494	46176
040168001054	57.1	42.9	45.7	54.3	8	37271	48487	43360
040168001055	54.5	45.5	41.8	58.2	9	36762	49986	44456
040168001426	-1.0	-1.0	75.0	-1.0	9	41640	-1	48868
040168001530	66.7	33.3	72.2	27.8	8	37275	42601	38755
040168001709	66.0	34.0	50.0	50.0	8	34965	52498	43732
040168002005	46.4	53.6	52.2	47.8	8	37517	50242	43603
040168002135	47.5	52.5	47.5	52.5	11	36807	56976	47396
040168003122	52.3	47.7	68.2	31.8	6	39300	52190	43401
040171000106	67.9	32.1	42.9	57.1	8	37004	44674	41387
040171000107	48.3	51.7	58.6	41.4	8	37666	48167	42011
040171000109	86.4	13.6	54.5	45.5	8	36618	45693	40743
040171000111	65.5	34.5	44.8	55.2	7	35998	45056	40995
040171000112	51.9	48.1	14.8	85.2	13	39188	46554	45463
040171001027	71.1	28.9	63.2	36.8	7	36922	43473	39335
040171001056	57.1	42.9	46.4	53.6	7	37148	43754	40687
040171001357	63.3	36.7	40.0	60.0	10	36649	47575	43204
040171002213	57.1	42.9	26.5	73.5	10	38569	45598	43733
040171002574	66.7	33.3	70.8	29.2	4	36690	42837	38483
040174000113	52.1	46.4	38.6	61.4	10	35725	44681	41227
040174001629	70.0	30.0	60.0	40.0	6	40605	44979	42355
040174002214	40.9	59.1	36.4	63.6	11	37870	38684	38388
040176000011	41.3	57.6	31.5	68.5	10	36221	47638	44039
040176000116	41.5	58.5	26.8	73.2	11	34845	48197	44615
040176000117	46.2	53.8	34.6	65.4	12	35910	49242	44627
040176001002	26.9	69.2	23.1	76.9	12	35167	49586	46258
040176001032	55.2	44.8	24.1	75.9	13	34400	49720	46022
040176001358	58.3	41.7	20.8	79.2	10	35637	46033	43867
040176001487	38.2	58.8	35.3	64.7	9	36785	46239	42902
040176001531	0.0	100.0	0.0	100.0	9	-2	40548	40548
040181000325	73.9	26.1	13.0	87.0	14	31434	41478	40168
040181002544	37.5	62.5	-1.0	75.0	8	-1	42113	38557
040187000013	48.8	51.2	48.8	51.2	8	38411	58229	48562
040187000123	29.1	70.3	27.7	72.3	11	41790	57207	52936
040187000125	38.2	61.8	35.3	64.7	8	39987	53279	48588
040187000127	48.4	51.6	51.6	48.4	6	40628	52904	46568
040187000128	56.1	43.9	49.1	50.9	9	40450	56562	48647
040187000129	35.9	64.1	41.0	59.0	9	42519	54063	49327
040187000131	53.3	46.7	33.3	66.7	9	39519	55656	50277
040187000133	31.1	68.9	47.5	52.5	7	42200	52057	47371
040187000615	33.3	66.7	31.0	69.0	9	40742	56653	51728
040187001058	62.5	37.5	52.5	47.5	7	39943	51727	45540
040187001155	45.5	54.5	58.2	41.8	7	41213	55611	47234
040187001206	24.1	75.9	41.4	58.6	10	41870	57708	51154
040187001289	53.6	46.4	42.9	57.1	7	43514	52237	48499
040187001359	35.3	64.7	38.2	61.8	8	40083	54524	49002
040187001399	44.4	55.6	51.9	48.1	9	40443	61813	50732
040187001400	46.4	53.6	41.1	58.9	9	41294	54793	49249
040187001532	30.4	69.6	28.3	71.7	9	41635	55630	51675
040187001533	29.3	70.7	44.8	55.2	8	41606	57834	50559
040187001675	30.8	69.2	28.2	71.8	12	40390	57343	52561
040187001676	42.2	57.8	33.3	66.7	9	40310	54214	49579
040187001677	19.3	79.3	27.6	72.4	9	42514	57767	53559
040187001678	50.0	50.0	42.9	57.1	8	39381	45960	43141
040187001996	35.8	64.2	34.0	66.0	9	41845	53987	49863
040187002125	37.7	62.3	32.1	67.9	9	41778	54943	50720
040187002250	45.0	53.6	70.0	30.0	4	42287	51826	45148
040187002251	40.8	59.2	42.9	57.1	6	42077	53293	48486
040187002346	53.3	46.7	60.0	40.0	6	39687	54670	45680
040187002379	66.7	33.3	69.4	30.6	5	42009	52542	45228
040187002380	46.8	53.2	46.8	53.2	7	42771	51019	47159
040187002478	38.9	61.1	75.0	25.0	5	43940	54026	46462
040187002479	34.4	65.6	87.5	12.5	4	43976	55014	45355
040187002480	63.6	36.4	60.0	40.0	6	39896	54950	45917
040187002587	43.2	56.8	51.4	48.6	8	40707	55308	47810
040187002646	55.2	44.8	86.2	13.8	4	40758	52382	42362
040194000135	60.0	40.0	7.5	92.5	14	32436	44897	43962
040194000136	39.5	60.5	7.9	92.1	17	34111	47555	46493
040194000137	58.7	41.3	31.7	68.3	9	33470	44395	40927
040194000138	44.8	55.2	17.2	82.8	14	34316	46185	44138
040194000140	50.0	50.0	13.3	86.7	15	33571	47514	45655
040194000145	56.7	43.3	20.0	80.0	12	33386	44781	42502
040194001139	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
040194001488	35.3	64.7	0.0	100.0	18	-2	48587	48587
040211000150	-1.0	-1.0	-1.0	-1.0	10	-1	-1	30832
040211000151	71.4	-1.0	57.1	42.9	6	26165	32498	28879
040213000152	37.5	62.5	37.5	62.5	9	41481	49769	46661
040219000154	90.9	-1.0	27.3	72.7	11	32378	40997	38646
040222002220	90.0	-1.0	40.0	60.0	12	34432	47102	42034
040225000156	45.5	54.5	31.8	68.2	9	35114	40947	39091
040232000158	65.1	32.6	44.2	55.8	5	36073	37625	36939
040232000164	64.6	35.4	62.5	37.5	4	32924	37375	34593
040232001025	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
040232001208	78.6	21.4	71.4	28.6	4	33104	36125	33967
040232001534	73.7	26.3	52.6	47.4	4	31712	36917	34178
040232001966	75.0	-1.0	0.0	100.0	7	-2	42296	42296
040232002643	83.3	16.7	77.8	22.2	4	32297	37250	33398
040232003079	82.2	17.8	95.6	-1.0	2	33086	-1	33471
040237000165	88.2	-1.0	41.2	58.8	9	32807	38370	36079
040237000166	67.9	32.1	46.4	53.6	10	32551	42651	37962
040237000167	71.8	28.2	43.6	56.4	7	32615	38253	35795
040237001360	57.7	42.3	42.3	57.7	9	33825	41881	38473
040237002384	63.2	36.8	36.8	63.2	12	32048	43525	39296
040240000014	72.7	27.3	50.0	50.0	7	35169	44831	40000
040240000017	60.5	39.5	55.3	44.7	7	36647	48323	41870
040240000036	74.3	25.7	48.6	51.4	8	38429	48236	43472
040240000037	81.0	19.0	54.8	45.2	6	35934	45166	40110
040240000171	62.9	37.1	40.0	60.0	9	38488	50248	45544
040240001087	60.0	40.0	30.0	70.0	10	35504	46859	43452
040240001976	63.9	36.1	47.2	52.8	8	36043	47189	41925
040240002424	74.3	25.7	40.0	60.0	8	37324	45840	42433
040240002425	60.5	39.5	50.0	50.0	6	34880	48809	41845
040243000174	64.2	35.8	34.0	66.0	8	37951	44625	42358
040243000176	57.1	42.9	22.4	77.6	11	35498	46387	43943
040243000177	84.9	15.1	52.8	47.2	6	37641	43556	40431
040243000178	65.9	34.1	56.8	43.2	8	36687	52522	43525
040243000179	64.7	35.3	47.1	52.9	10	35757	50044	43320
040243000180	52.4	47.6	40.5	59.5	11	36286	48361	43474
040243000181	65.1	34.9	48.8	51.2	8	36915	49590	43400
040243001704	51.2	48.8	30.2	69.8	9	39386	50419	47084
040243001998	-1.0	-1.0	0.0	100.0	14	-2	49660	49660
040243001999	55.8	42.3	71.2	28.8	5	38454	45414	40461
040248001210	60.0	-1.0	-1.0	60.0	9	-1	39650	38605
040248001536	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
040249000183	-1.0	-1.0	0.0	100.0	25	-2	46418	46418
040253000184	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
040253000185	43.3	56.7	20.0	80.0	14	31954	43354	41074
040253000186	93.8	-1.0	31.3	68.8	10	32887	37697	36194
040253000187	50.0	50.0	21.4	78.6	16	38660	49249	46980
040253000190	77.3	22.7	40.9	59.1	11	33563	40918	37909
040253000191	75.0	25.0	41.7	58.3	10	32318	39068	36255
040253000192	61.5	38.5	30.8	69.2	11	33399	39083	37334
040253000193	88.9	-1.0	-1.0	88.9	14	-1	40213	39668
040253000194	57.1	42.9	33.3	66.7	12	34589	43919	40809
040253001291	0.0	-1.0	-1.0	0.0	-1	-1	-2	-1
040260000195	50.0	50.0	-1.0	75.0	15	-1	34708	34119
040260000196	50.0	50.0	0.0	100.0	18	-2	38913	38913
040260001292	77.8	-1.0	-1.0	77.8	9	-1	37457	36267
040269000197	73.6	26.4	64.2	35.8	6	41415	58989	47715
040269000198	61.0	37.8	46.3	53.7	8	42416	51230	47146
040269000199	71.7	28.3	52.8	47.2	7	41164	51644	46107
040269000200	66.7	33.3	53.8	46.2	8	40218	54873	46982
040269000201	81.8	18.2	56.4	43.6	7	40306	51665	45262
040269001462	71.7	28.3	39.1	60.9	8	43112	50958	47887
040269002126	74.5	25.5	56.9	43.1	7	42176	56472	48343
040269002340	71.4	28.6	53.1	46.9	7	44572	54102	49045
040269002401	72.3	27.7	66.0	34.0	5	41778	49210	44308
040269002402	69.4	30.6	52.8	47.2	5	41473	47208	44181
040269002481	73.3	26.7	64.4	35.6	5	42559	51073	45586
040269002482	65.1	34.9	44.2	55.8	7	40180	47703	44379
040269002649	64.1	35.9	71.8	28.2	5	37951	50818	41580
040269002655	77.8	22.2	75.0	25.0	4	37992	45776	39938
040269002679	67.6	32.4	52.9	47.1	7	43211	51864	47283
040269002684	57.1	42.9	42.9	57.1	7	39240	48836	44723
040269003124	75.5	24.5	59.2	40.8	6	42241	52044	46243
040269003125	75.5	24.5	60.4	39.6	6	43158	52632	46912
040269003126	58.6	41.4	56.8	43.2	7	41098	51745	45702
040274000203	60.0	40.0	0.0	100.0	9	-2	53598	53598
040274001625	66.7	-1.0	0.0	100.0	13	-2	56184	56184
040276000204	60.0	40.0	40.0	60.0	10	32250	37083	35150
040279000207	90.9	-1.0	36.4	63.6	11	32586	38759	36514
040279000208	50.0	50.0	66.7	-1.0	8	33468	-1	35105
040279000209	86.7	-1.0	46.7	53.3	10	31848	37630	34932
040279001060	80.0	20.0	30.0	70.0	12	33412	39474	37655
040286000211	44.0	56.0	12.0	88.0	12	30937	43281	41799
040286000212	46.2	53.8	21.5	78.5	10	30132	41707	39214
040286000214	35.0	65.0	15.0	85.0	11	31672	46242	44056
040286000215	38.1	61.9	22.2	77.8	10	32267	42647	40340
040286000216	55.8	44.2	27.9	72.1	9	26114	34825	32394
040286000217	48.4	51.6	22.6	77.4	9	31045	39892	37894
040286000218	37.5	62.5	12.5	87.5	11	32577	41846	40688
040286000219	41.2	58.8	41.2	58.8	8	32536	41225	37647
040286000220	53.8	46.2	23.1	76.9	10	31997	43757	41043
040286000222	30.8	69.2	15.4	84.6	12	30844	46114	43765
040286000224	69.2	30.8	30.8	69.2	9	31535	42779	39319
040286000225	35.7	64.3	14.3	85.7	10	32382	39808	38747
040286001157	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
040286001158	-1.0	60.0	80.0	-1.0	3	32142	-1	32811
040286001363	58.1	41.9	16.1	83.9	11	31391	42883	41030
040286001364	40.0	60.0	26.7	73.3	10	29953	45100	41061
040286001463	32.8	67.2	24.1	75.9	10	31092	44821	41507
040286001464	49.0	51.0	35.3	64.7	9	32423	43150	39364
040286002097	42.9	57.1	42.9	57.1	8	32714	41893	37960
040292000227	70.0	30.0	65.0	35.0	5	34411	40207	36440
040292000228	61.1	38.9	66.7	33.3	5	34141	38922	35735
040292002210	69.2	30.8	82.7	17.3	4	34350	38300	35034
040292002436	85.7	14.3	78.6	21.4	3	34463	36282	34853
040292002559	88.9	11.1	69.4	30.6	4	34036	37609	35128
040292002637	62.5	37.5	83.3	16.7	3	35902	41825	36889
040301000231	61.6	38.4	50.0	50.0	9	34343	47652	40998
040301000232	55.6	44.4	46.7	53.3	8	34007	46103	40458
040301000233	63.0	37.0	44.4	55.6	11	34210	50556	43291
040301000236	59.3	40.7	18.5	81.5	13	32675	47728	44940
040301000237	55.6	44.4	30.6	69.4	11	32917	46739	42516
040301001000	59.3	40.7	25.9	74.1	12	33669	45196	42208
040301001033	50.0	50.0	26.9	73.1	13	32791	49298	44854
040301001489	73.1	23.1	38.5	61.5	10	32413	47122	41465
040301001611	0.0	-1.0	-1.0	0.0	-1	-1	-2	-1
040301002065	60.0	-1.0	-1.0	60.0	7	-1	44865	40053
040304000038	48.7	51.3	30.8	69.2	11	34790	44976	41842
040304000239	41.4	58.6	24.1	75.9	10	34905	43343	41306
040304000639	54.5	45.5	21.2	78.8	9	35438	40950	39781
040304001296	51.9	48.1	25.9	74.1	13	34307	47047	43744
040306000240	64.5	35.5	64.5	35.5	7	38256	48592	41924
040306000679	71.8	28.2	51.3	48.7	7	38800	46422	42513
040306001159	71.0	29.0	61.3	38.7	6	38989	43907	40893
040306002355	64.7	35.3	47.1	52.9	11	38234	49519	44208
040306002495	67.9	32.1	50.0	50.0	7	36879	46693	41786
040306003084	66.7	33.3	75.0	25.0	4	38497	46423	40478
040306003085	65.9	34.1	68.3	31.7	5	37860	45820	40384
040308000241	62.5	37.5	0.0	100.0	12	-2	42175	42175
040308000242	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040315000244	48.3	51.7	-1.0	96.6	19	-1	59193	58646
040315000245	30.4	69.6	-1.0	91.3	18	-1	56877	55503
040315000247	60.0	40.0	-1.0	96.0	14	-1	50945	50419
040320000248	71.0	29.0	32.3	67.7	12	34045	40565	38462
040320000249	84.6	-1.0	-1.0	84.6	16	-1	42094	41478
040324000250	60.9	39.1	26.1	73.9	10	34291	43385	41012
040324001101	64.0	36.0	44.0	56.0	7	34186	45223	40366
040324001108	75.0	-1.0	-1.0	-1.0	7	-1	-1	37117
040324001213	36.7	63.3	23.3	76.7	9	34864	41794	40177
040324001806	72.4	27.6	58.6	41.4	7	34826	41854	37734
040324002388	81.5	18.5	29.6	70.4	8	35399	40862	39243
040324002389	72.7	27.3	45.5	54.5	8	34360	42137	38602
040324003066	68.8	31.3	18.8	81.3	7	34557	39676	38716
040324003116	57.6	42.4	36.4	63.6	7	35047	40469	38497
040329000251	62.1	34.5	20.7	79.3	12	37118	50298	47571
040329000252	62.5	32.5	42.5	57.5	7	39631	44124	42215
040329000253	64.0	28.0	40.0	60.0	9	33762	47677	42111
040329000254	72.7	27.3	63.6	36.4	8	37744	51097	42600
040331000255	80.0	20.0	35.0	65.0	11	35154	39447	37945
040331000256	77.8	-1.0	55.6	44.4	12	30962	32337	31573
040340000246	31.8	68.2	30.4	69.6	10	35738	46012	42888
040340000257	31.4	68.6	29.4	70.6	12	33090	49652	44781
040340000258	36.7	63.3	31.1	68.9	11	35351	47726	43881
040340000259	51.0	49.0	34.7	65.3	10	34771	46043	42132
040340000260	60.5	39.5	55.3	44.7	6	35224	45108	39646
040340000261	36.4	63.6	21.2	78.8	11	35524	46596	44247
040340000265	35.3	64.7	38.2	61.8	8	35126	45820	41731
040340000594	61.2	38.8	46.9	53.1	6	34477	40346	37591
040340000595	62.5	37.5	50.0	50.0	7	33882	43468	38675
040340000596	58.3	41.7	47.2	52.8	7	34960	42468	38922
040340000601	55.9	44.1	50.0	50.0	7	34641	45356	39999
040340000602	52.3	47.7	40.9	59.1	7	34222	41914	38767
040340001064	35.5	64.5	48.4	51.6	7	35373	45254	40473
040340001191	35.7	64.3	78.6	21.4	4	35960	41235	37090
040340001192	46.5	53.5	32.6	67.4	9	35184	44393	41395
040340001215	56.8	43.2	56.8	43.2	8	34826	46739	39978
040340001216	45.1	54.9	49.0	51.0	7	35441	43071	39331
040340001365	47.4	52.6	44.7	55.3	9	35117	48151	42320
040340001366	31.1	68.9	42.2	57.8	9	34462	49416	43102
040340001401	31.4	68.6	42.9	57.1	9	35285	49056	43154
040340001490	44.1	55.9	32.4	67.6	11	35526	48165	44076
040340001537	50.0	50.0	45.0	55.0	8	34704	43617	39606
040340001669	46.8	53.2	43.5	56.5	8	35231	43624	39969
